player,team,season,date,points
John Matthews,winners,fall_2014,2014-10-16,12.0
John Matthews,winners,fall_2014,2014-10-17,8.0
John Matthews,winners,fall_2014,2014-10-27,8.0
John Matthews,winners,fall_2014,2014-10-28,12.0
Billy Bob,winners,fall_2014,2014-10-15,24.0
Billy Bob,winners,fall_2014,2014-10-20,20.0
Billy Bob,winners,fall_2014,2014-10-27,14.0
Billy Bob,winners,fall_2014,2014-10-28,10.0
Billy Bob,winners,fall_2014,2014-11-10,2.0
Billy Bob,winners,fall_2014,2014-11-22,12.0
Billy Bob,winners,fall_2014,2014-11-24,12.0
Billy Bob,winners,fall_2014,2014-12-02,2.0
Billy Bob,winners,fall_2014,2014-12-04,12.0
John Doe,winners,fall_2014,2014-10-15,12.0
John Doe,winners,fall_2014,2014-10-16,12.0
John Doe,winners,fall_2014,2014-10-18,24.0
John Doe,winners,fall_2014,2014-10-20,12.0
John Doe,winners,fall_2014,2014-10-21,7.0
John Doe,winners,fall_2014,2014-10-23,11.0
John Doe,winners,fall_2014,2014-10-27,15.0
John Doe,winners,fall_2014,2014-10-28,9.0
John Doe,winners,fall_2014,2014-10-29,15.0
John Doe,winners,fall_2014,2014-11-02,13.0
John Doe,winners,fall_2014,2014-11-03,16.0
John Doe,winners,fall_2014,2014-11-06,24.0
John Doe,winners,fall_2014,2014-11-08,8.0
John Doe,winners,fall_2014,2014-11-09,15.0
John Doe,winners,fall_2014,2014-11-10,18.0
John Doe,winners,fall_2014,2014-11-11,16.0
John Doe,winners,fall_2014,2014-11-15,9.0
John Doe,winners,fall_2014,2014-11-16,19.0
John Doe,winners,fall_2014,2014-11-18,18.0
John Doe,winners,fall_2014,2014-11-19,11.0
John Doe,winners,fall_2014,2014-11-22,18.0
John Doe,winners,fall_2014,2014-11-24,15.0
John Doe,winners,fall_2014,2014-11-25,16.0
John Doe,winners,fall_2014,2014-11-26,19.0
John Doe,winners,fall_2014,2014-11-28,19.0
John Doe,winners,fall_2014,2014-11-29,11.0
John Doe,winners,fall_2014,2014-11-30,15.0
John Doe,winners,fall_2014,2014-12-02,9.0
John Doe,winners,fall_2014,2014-12-03,9.0
John Doe,winners,fall_2014,2014-12-05,13.0
Ryan Teo,winners,fall_2014,2014-10-23,54.0
Ryan Teo,winners,fall_2014,2014-10-27,18.0
Ryan Teo,winners,fall_2014,2014-10-29,18.0
Ryan Teo,winners,fall_2014,2014-10-31,30.0
Ryan Teo,winners,fall_2014,2014-11-05,24.0
Ryan Teo,winners,fall_2014,2014-11-06,24.0
Ryan Teo,winners,fall_2014,2014-11-24,24.0
Ryan Teo,winners,fall_2014,2014-11-25,24.0
Ryan Teo,winners,fall_2014,2014-12-04,30.0
Ryan Teo,winners,fall_2014,2014-12-05,30.0
Mike Bike,winners,fall_2014,2014-10-20,2.0
Mike Bike,winners,fall_2014,2014-10-21,4.0
Mike Bike,winners,fall_2014,2014-10-30,14.0
Mike Bike,winners,fall_2014,2014-11-03,10.0
Max Minh,winners,fall_2014,2014-10-15,16.0
Max Minh,winners,fall_2014,2014-10-16,20.0
Max Minh,winners,fall_2014,2014-10-17,4.0
Max Minh,winners,fall_2014,2014-10-18,20.0
Max Minh,winners,fall_2014,2014-10-19,4.0
Max Minh,winners,fall_2014,2014-10-20,8.0
Max Minh,winners,fall_2014,2014-10-21,16.0
Max Minh,winners,fall_2014,2014-10-22,4.0
Max Minh,winners,fall_2014,2014-10-23,2.0
Max Minh,winners,fall_2014,2014-10-24,2.0
Max Minh,winners,fall_2014,2014-10-25,16.0
Max Minh,winners,fall_2014,2014-10-26,2.0
